Name,Date,Title,Price,Condition,Link
gg555jjj,58 minutes ago,[Macbook Pro 16 inch],"S$1,200",Like new,https://carousell.sg/p/macbook-pro-16-inch-1267894306/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=0
milkchap,1 hour ago,"14"" MacBook Pro M1 Pro 1TB 16GB","S$2,000",Like new,https://carousell.sg/p/14-macbook-pro-m1-pro-1tb-16gb-1267041281/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=1
lwk140817,1 hour ago,(AppleCare+) 2023 M2 MacBook Air 15 Inch Starlight,"S$2,190",Brand new,https://carousell.sg/p/applecare-2023-m2-macbook-air-15-inch-starlight-1267887683/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=2
dollz_,2 hours ago,Macbook Air 2017,S$350,Lightly used,https://carousell.sg/p/macbook-air-2017-1267885392/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=3
dmitrim,2 hours ago,"Macbook Pro 16, 2019",S$999,Well used,https://carousell.sg/p/macbook-pro-16-2019-1267886941/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=5
snowflakelover,2 hours ago,URGENT MacBook Air M1 chip 2022,S$750,Like new,https://carousell.sg/p/urgent-macbook-air-m1-chip-2022-1267820594/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=6
soonleelew658,2 hours ago,BNIB macbook air 15inch,"S$1,500",Brand new,https://carousell.sg/p/bnib-macbook-air-15inch-1256883026/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=7
martiankadett,3 hours ago,MacBook Pro M1 Pro,"S$2,000",Lightly used,https://carousell.sg/p/macbook-pro-m1-pro-1267873742/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=8
plenilunegaze,3 hours ago,"MacBook Air (2017, 128 GB)",S$450,Lightly used,https://carousell.sg/p/macbook-air-2017-128-gb-1267864574/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=9
tl143,5 hours ago,MacBook Pro 2011,S$380,Lightly used,https://carousell.sg/p/macbook-pro-2011-1267844694/?t-id=alT_jD7J9H_1701012344001&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=VUdvPF94dhBpWRkf&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=10
